Country,Total_Cases,New_Cases,Total_Death,New_Deaths,Total_Recov,Active_Cases,Serious,Tot_Cases_1M,Tot_Deaths_1M
China,81218,47,3281,4,73650,4287,1399,56,2
Italy,69176,,6820,,8326,54030,3393,1144,113
USA,54867,44,782,4,378,53707,1175,166,2
Spain,42058,,2991,,3794,35273,2636,900,64
Germany,32991,,159,,3290,29542,23,394,2
Iran,24811,,1934,,8913,13964,,295,23
France,22304,,1100,,3281,17923,2516,342,17
Switzerland,9877,,122,,131,9624,141,1141,14
S. Korea,9137,100,126,6,3730,5281,59,178,2
UK,8077,,422,,135,7520,20,119,6
Netherlands,5560,,276,,2,5282,435,324,16
Austria,5283,,28,,9,5246,22,587,3
Belgium,4269,,122,,461,3686,381,368,11
Norway,2866,,12,,6,2848,44,529,2
Canada,2792,,26,,112,2654,1,74,0.7
Portugal,2362,,33,,22,2307,48,232,3
Australia,2317,,8,,118,2191,11,91,0.3
Sweden,2299,,40,,16,2243,143,228,4
Brazil,2247,,46,,2,2199,18,11,0.2
Israel,1930,,3,,53,1874,34,223,0.3
Turkey,1872,,44,,,1828,,22,0.5
Malaysia,1624,,16,,183,1425,64,50,0.5
Denmark,1591,,32,,1,1558,69,275,6
Czechia,1394,,3,,10,1381,19,130,0.3
Ireland,1329,,7,,5,1317,29,269,1
Japan,1193,,43,,285,865,54,9,0.3
Luxembourg,1099,,8,,6,1085,3,1756,13
Ecuador,1082,,27,,3,1052,2,61,2
Pakistan,972,,7,,18,947,5,4,0.03
Chile,922,,2,,17,903,7,48,0.1
Poland,901,,10,,1,890,3,24,0.3
Thailand,827,,4,,52,771,7,12,0.06
Romania,794,,12,,79,703,15,41,0.6
Finland,792,,1,,10,781,11,143,0.2
Saudi Arabia,767,,1,,28,738,,22,0.03
Greece,743,,20,,29,694,35,71,2
Diamond Princess,712,,10,,587,115,15,,
Indonesia,686,,55,,30,601,,3,0.2
Iceland,648,,2,,51,595,13,1899,6
India,562,26,11,1,40,511,,0.4,0.01
Singapore,558,,2,,156,400,14,95,0.3
South Africa,554,,,,4,550,2,9,
Philippines,552,,35,,20,497,1,5,0.3
Qatar,526,,,,41,485,6,183,
Russia,495,,1,,22,472,8,3,0.01
Slovenia,480,,4,,3,473,12,231,2
Panama,443,,6,,1,436,33,103,1
Peru,416,,7,,1,408,9,13,0.2
Egypt,402,,20,,80,302,,4,0.2
Bahrain,392,,3,,177,212,2,230,2
Argentina,387,,6,,52,329,,9,0.1
Hong Kong,387,,4,,102,281,4,52,0.5
Croatia,382,,1,,5,376,6,93,0.2
Colombia,378,,3,,6,369,,7,0.06
Estonia,369,,,,7,362,4,278,
Mexico,367,,4,,4,359,1,3,0.03
Lebanon,318,,4,,8,306,4,47,0.6
Iraq,316,,27,,75,214,,8,0.7
Dominican Republic,312,,6,,3,303,,29,0.6
Serbia,303,,3,,15,285,21,35,0.3
Algeria,264,,19,,24,221,,6,0.4
Armenia,249,,,,14,235,6,84,
UAE,248,,2,,45,201,2,25,0.2
